survive sex ageCat f_coeff immGG id year
1 Male 3to5 0.0801362991333008 0.3687744140625 354 2001
0 Male 3to5 0.0440864562988281 0.43212890625 360 2001
1 Male 3to5 0.0239830017089844 0.44189453125 350 2001
1 Male 3to5 0.0983409881591797 0.353759765625 361 2001
1 Male 3to5 0.0511970520019531 0.41748046875 351 2001
1 Male 3to5 0.0980720520019531 0.312255859375 341 2001
1 Male 3to5 0.0579414367675781 0.32080078125 359 2001
1 Female 3to5 0.0640792846679688 0.41943359375 374 2001
1 Male 3to5 0 0.688232421875 383 2001
1 Female 3to5 0.0708403587341309 0.37744140625 398 2001
1 Male 3to5 0.057708740234375 0.41796875 385 2001
1 Female 3to5 0.0744571685791016 0.444580078125 396 2001
1 Male 3to5 0.07391357421875 0.3330078125 419 2001
1 Male 3to5 0.0818996429443359 0.440185546875 421 2001
1 Male 3to5 0.110115051269531 0.45947265625 420 2001
1 Male 3to5 0.0722370147705078 0.455078125 418 2001
1 Male 3to5 0.0593023300170898 0.4736328125 422 2001
1 Male 3to5 0.0419259071350098 0.4898681640625 417 2001
1 Male 3to5 0 0.70660400390625 423 2001
1 Male 2 0.0737543106079102 0.403564453125 433 2001
1 Male 2 0.0633082389831543 0.4593505859375 434 2001
1 Female 2 0.114452362060547 0.357177734375 438 2001
0 Male 2 0.0593023300170898 0.4736328125 432 2001
1 Male 2 0.100512504577637 0.303955078125 435 2001
1 Female 2 0.105484008789062 0.44775390625 439 2001
1 Male 2 0.105484008789062 0.44775390625 436 2001
1 Male 1 0 0.71923828125 441 2001
1 Female 1 0.0402469635009766 0.5772705078125 447 2001
0 Male 6p 0.0239200592041016 0.580078125 260 2001
1 Female 6p 0.0667877197265625 0.29150390625 280 2001
1 Male 6p 0.127349853515625 0.2451171875 218 2001
1 Female 1 0.105484008789062 0.44775390625 449 2001
0 Female 1 0.0740036964416504 0.41339111328125 446 2001
1 Male 1 0.0633082389831543 0.4593505859375 445 2001
1 Male 1 0.0846147537231445 0.434234619140625 442 2001
1 Male 1 0 0.708740234375 443 2001
1 Male 1 0.0419259071350098 0.4898681640625 444 2001
1 Female 1 0 0.71923828125 448 2001
0 Male 6p 0.0807380676269531 0.28515625 304 2002
0 Male 6p 0.0801362991333008 0.3687744140625 354 2002
