ARS sex ageCat f_coeff immGG id year
5 Female 2 0.030487060546875 0.37646484375 314 1997
5 Female 3to5 0.030487060546875 0.37646484375 314 1998
5 Female 1 0.030487060546875 0.37646484375 315 1996
7 Female 2 0.030487060546875 0.37646484375 315 1997
3 Female 1 0.107315063476562 0.25 371 1996
5 Female 1 0.107315063476562 0.25 372 1996
2 Female 2 0.107315063476562 0.25 372 1997
6 Female 3to5 0.107315063476562 0.25 372 1998
5 Female 1 0.0682353973388672 0.451171875 316 1996
3 Female 2 0.0682353973388672 0.451171875 316 1997
4 Female 1 0.08282470703125 0.3779296875 285 1994
2 Female 1 0.051055908203125 0.1923828125 247 1994
3 Female 2 0.051055908203125 0.1923828125 247 1995
3 Female 1 0.021484375 0.3671875 141 1994
8 Female 2 0.021484375 0.3671875 141 1995
2 Female 1 0.152156829833984 0.43701171875 291 1994
6 Female 2 0.152156829833984 0.43701171875 291 1995
7 Female 3to5 0.152156829833984 0.43701171875 291 1996
3 Female 1 0.122451782226562 0.32275390625 288 1994
3 Female 1 0 0.79296875 152 1994
5 Female 2 0 0.79296875 152 1995
4 Female 3to5 0 0.79296875 152 1996
4 Female 3to5 0 0.79296875 152 1997
4 Female 3to5 0 0.79296875 152 1998
3 Female 6plus 0 0.79296875 152 1999
2 Female 6plus 0 0.79296875 152 2000
5 Female 1 0.048492431640625 0.458984375 243 1994
7 Female 2 0.048492431640625 0.458984375 243 1995
5 Female 3to5 0.048492431640625 0.458984375 243 1996
4 Female 1 0.074737548828125 0.3701171875 249 1994
0 Female 1 0.21136474609375 0.1396484375 244 1994
4 Female 2 0.21136474609375 0.1396484375 244 1995
0 Female 3to5 0.21136474609375 0.1396484375 244 1996
2 Female 1 0.0597381591796875 0.33154296875 289 1994
7 Female 2 0.0597381591796875 0.33154296875 289 1995
6 Female 3to5 0.0597381591796875 0.33154296875 289 1996
6 Female 3to5 0.0597381591796875 0.33154296875 289 1997
4 Female 1 0.040802001953125 0.3759765625 251 1994
3 Female 1 0.03564453125 0.52880859375 292 1994
3 Female 1 0.0864410400390625 0.28662109375 286 1994
7 Female 2 0.0864410400390625 0.28662109375 286 1995
4 Female 3to5 0.0864410400390625 0.28662109375 286 1996
3 Female 3to5 0.0864410400390625 0.28662109375 286 1997
3 Female 1 0.106719970703125 0.2724609375 248 1994
4 Female 2 0.106719970703125 0.2724609375 248 1995
5 Female 3to5 0.106719970703125 0.2724609375 248 1996
6 Female 3to5 0.106719970703125 0.2724609375 248 1997
2 Female 1 0.105484008789062 0.44775390625 491 2001
1 Female 2 0.105484008789062 0.44775390625 491 2002
4 Female 3to5 0.105484008789062 0.44775390625 491 2003
5 Female 1 0.0740036964416504 0.41339111328125 462 2001
0 Female 1 0.0824184417724609 0.39501953125 463 2001
8 Female 1 0 0.71923828125 415 2001
3 Female 2 0 0.71923828125 415 2002
7 Female 3to5 0 0.71923828125 415 2003
0 Female 3to5 0 0.71923828125 415 2004
0 Female 3to5 0 0.71923828125 415 2005
4 Female 1 0.0747010707855225 0.37841796875 468 2002
3 Female 2 0.0747010707855225 0.37841796875 468 2003
6 Female 1 0.0819287300109863 0.40667724609375 466 2002
3 Female 1 0.0804681777954102 0.42352294921875 469 2002
3 Female 2 0.0804681777954102 0.42352294921875 469 2003
7 Female 3to5 0.0804681777954102 0.42352294921875 469 2004
7 Female 3to5 0.0804681777954102 0.42352294921875 469 2005
3 Female 3to5 0.0804681777954102 0.42352294921875 469 2006
6 Female 1 0.0379910469055176 0.526123046875 451 2002
8 Female 2 0.0379910469055176 0.526123046875 451 2003
3 Female 1 0.105484008789062 0.44775390625 494 2002
8 Female 2 0.105484008789062 0.44775390625 494 2003
5 Female 1 0.105484008789062 0.44775390625 495 2002
3 Female 1 0.0542196035385132 0.49041748046875 472 2002
8 Female 1 0.0542196035385132 0.49041748046875 470 2002
11 Female 2 0.0542196035385132 0.49041748046875 470 2003
2 Female 1 0.0514075756072998 0.44482421875 527 2002
6 Female 2 0.0514075756072998 0.44482421875 527 2003
2 Female 1 0 0.660400390625 465 2002
3 Female 2 0 0.660400390625 465 2003
7 Female 3to5 0 0.660400390625 465 2004
6 Female 3to5 0 0.660400390625 465 2005
6 Female 1 0.0419259071350098 0.4898681640625 450 2002
6 Female 1 0.0684471540153027 0.459854125976562 577 2006
3 Female 1 0.060905933380127 0.58953857421875 551 2006
9 Female 2 0.060905933380127 0.58953857421875 551 2007
3 Female 1 0.0637537837028503 0.45697021484375 520 2006
3 Female 2 0.0637537837028503 0.45697021484375 520 2007
3 Female 1 0.0708290785551071 0.465805053710938 553 2006
3 Female 1 0.0766917169094086 0.3876953125 571 2006
4 Female 1 0.0838794410228729 0.391082763671875 493 2002
7 Female 2 0.0838794410228729 0.391082763671875 493 2003
3 Female 1 0.0419259071350098 0.4898681640625 454 2003
3 Female 1 0.0535163879394531 0.49737548828125 477 2003
5 Female 2 0.0535163879394531 0.49737548828125 477 2004
7 Female 3to5 0.0535163879394531 0.49737548828125 477 2005
2 Female 1 0.0373600721359253 0.547454833984375 506 2003
3 Female 1 0.0838794410228729 0.391082763671875 496 2002
6 Female 2 0.0838794410228729 0.391082763671875 496 2003
6 Female 1 0.0826640725135803 0.451416015625 526 2002
7 Female 2 0.0826640725135803 0.451416015625 526 2003
4 Female 3to5 0.0826640725135803 0.451416015625 526 2004
6 Female 1 0.0523055791854858 0.490142822265625 504 2003
5 Female 1 0 0.660400390625 471 2002
6 Female 2 0 0.660400390625 471 2003
3 Female 3to5 0 0.660400390625 471 2004
11 Female 3to5 0 0.660400390625 471 2005
6 Female 1 0 0.660400390625 467 2002
4 Female 1 0.0779668092727661 0.412322998046875 503 2003
0 Female 2 0.0779668092727661 0.412322998046875 503 2004
0 Female 3to5 0.0779668092727661 0.412322998046875 503 2005
4 Female 1 0.0670806169509888 0.474884033203125 505 2003
8 Female 2 0.0670806169509888 0.474884033203125 505 2004
10 Female 3to5 0.0670806169509888 0.474884033203125 505 2005
2 Female 3to5 0.0670806169509888 0.474884033203125 505 2006
8 Female 3to5 0.0670806169509888 0.474884033203125 505 2007
7 Female 1 0.0641529783606529 0.419418334960938 528 2003
5 Female 1 0.0542196035385132 0.49041748046875 479 2003
8 Female 1 0.0542196035385132 0.49041748046875 478 2003
5 Female 1 0.0240890979766846 0.67431640625 509 2004
6 Female 1 0.0710224807262421 0.5985107421875 508 2004
7 Female 2 0.0710224807262421 0.5985107421875 508 2005
7 Female 1 0.0660239458084106 0.50958251953125 480 2004
7 Female 2 0.0660239458084106 0.50958251953125 480 2005
7 Female 1 0.0514075756072998 0.44482421875 535 2004
6 Female 2 0.0514075756072998 0.44482421875 535 2005
8 Female 3to5 0.0514075756072998 0.44482421875 535 2006
6 Female 1 0.0616087466478348 0.440475463867188 534 2004
8 Female 2 0.0616087466478348 0.440475463867188 534 2005
8 Female 1 0.0710224807262421 0.5985107421875 510 2004
6 Female 2 0.0710224807262421 0.5985107421875 510 2005
6 Female 3to5 0.0710224807262421 0.5985107421875 510 2006
10 Female 1 0.0542196035385132 0.49041748046875 481 2004
4 Female 2 0.0542196035385132 0.49041748046875 481 2005
8 Female 3to5 0.0542196035385132 0.49041748046875 481 2006
4 Female 1 0.0350514501333237 0.599395751953125 543 2005
0 Female 1 0.0350514501333237 0.599395751953125 546 2005
6 Female 1 0.0450029373168945 0.5511474609375 514 2005
5 Female 1 0.0353802144527435 0.582366943359375 544 2005
5 Female 1 0.0353802144527435 0.582366943359375 545 2005
5 Female 2 0.0353802144527435 0.582366943359375 545 2006
6 Female 3to5 0.0353802144527435 0.582366943359375 545 2007
7 Female 1 0.0536594390869141 0.5159912109375 564 2005
5 Female 2 0.0536594390869141 0.5159912109375 564 2006
11 Female 3to5 0.0536594390869141 0.5159912109375 564 2007
6 Female 3to5 0.0536594390869141 0.5159912109375 564 2008
8 Female 1 0.0394054055213928 0.571075439453125 516 2005
6 Female 1 0 0.8441162109375 456 2005
8 Female 2 0 0.8441162109375 456 2006
8 Female 3to5 0 0.8441162109375 456 2007
5 Female 3to5 0 0.8441162109375 456 2008
6 Female 1 0.0319887399673462 0.6204833984375 517 2005
4 Female 1 0.0447060465812683 0.5335693359375 547 2005
3 Female 2 0.0447060465812683 0.5335693359375 547 2006
6 Female 1 0.0450029373168945 0.5511474609375 515 2005
6 Female 2 0.0450029373168945 0.5511474609375 515 2006
9 Female 3to5 0.0450029373168945 0.5511474609375 515 2007
4 Female 3to5 0.0450029373168945 0.5511474609375 515 2008
7 Female 3to5 0.0450029373168945 0.5511474609375 515 2009
8 Female 6plus 0.0450029373168945 0.5511474609375 515 2010
4 Female 1 0.0684471540153027 0.459854125976562 572 2006
7 Female 2 0.0684471540153027 0.459854125976562 572 2007
0 Female 3to5 0.0684471540153027 0.459854125976562 572 2008
4 Female 1 0.0235463529825211 0.638839721679688 554 2006
1 Female 1 0.0858993791043758 0.59088134765625 569 2006
5 Female 1 0 0.794906616210938 568 2006
8 Female 2 0 0.794906616210938 568 2007
5 Female 1 0 0.794906616210938 573 2006
7 Female 1 0.148245573043823 0.610137939453125 552 2006
