row column Ainv
212 177 -1.1015564594749
212 212 8.4347254970399
213 109 -1
213 126 -1
213 187 3.70179716257308
213 213 5.70179716257308
214 96 2.04165173912366
214 120 1.55291218425667
214 132 -1.01160780439615
214 153 -1.01160780439615
214 189 0.516368965544411
214 190 2.65598910629468
214 191 2.18821683166664
214 200 2.08507524418568
214 214 15.682153353281
215 114 0.512520528661922
215 120 1.55941559986675
215 160 -1.0197298811228
215 178 -1.0197298811228
215 200 0.52346720342503
215 201 4.17327071559341
215 215 17.7388314536829
216 114 0.580231611006835
216 157 -1.01637717121588
216 160 0.591288029160201
216 175 -1.01637717121588
216 216 3.2042739825988
217 153 -1.0081220772828
217 176 -1.0081220772828
217 194 6.24127613983572
217 217 8.25752029440131
218 114 -1.01386138613861
218 137 -1.01386138613861
218 150 2.82297804886454
218 218 4.85070082114177
219 152 -1.01522779731384
219 161 3.06493627966795
219 172 -1.01522779731384
219 219 5.09539187429562
220 102 -1.04058431248015
220 123 -1.04058431248015
220 161 2.52498555191678
220 195 2.1837326313685
220 220 7.95234667663162
221 102 -1.04058431248015
221 123 -1.04058431248015
221 148 3.30289285354299
221 196 1.08234516928159
221 197 3.86845211994468
221 221 14.2324752203105
222 110 -1.00324536158227
222 113 1.51604271889579
222 145 0.507005206520141
222 148 2.05382451796893
222 156 2.06394721717017
222 174 -1.00324536158227
222 196 1.51604271889579
222 205 1.01899260664391
222 222 12.7411342437083
223 152 -1.01522779731384
223 172 -1.01522779731384
223 197 0.538590817756337
223 223 2.56904641238401
224 145 1.5048680423734
224 147 -1.00378317940235
224 148 1.52380952380952
224 156 1.02082586956183
224 179 -1.00378317940235
224 196 7
224 205 0.504061038641398
224 224 14.0894807876407
225 122 -1.23354916428249
225 157 4.88847632939928
225 170 -1.23354916428249
225 225 7.91192159379454
226 147 -1.00378317940235
226 179 -1.00378317940235
226 198 2
226 206 0.504061038641398
226 226 4.5116273974461
227 117 -1.01386138613861
227 134 -1.01386138613861
227 207 1.06380975570165
227 227 3.09153252797888
228 184 -1.00324536158227
228 210 -1.00324536158227
228 228 6.13900536425101
229 138 -1.08023999472539
229 183 -1.08023999472539
229 229 3.70433192389864
230 114 -1.16046322201367
230 129 1.55710608640558
230 164 4.89030022137284
230 173 0.513753988225426
230 216 -1.16046322201367
230 230 9.7992584572029
231 110 -1.00324536158227
231 174 -1.00324536158227
231 214 0.515986804292542
231 215 1.55442233343611
231 231 5.69294457567208
232 106 -1.00324536158227
232 184 -1.00324536158227
232 232 9.80883326975303
233 160 -1.1825760583204
233 216 -1.1825760583204
233 220 1.16245986838604
233 233 15.8356145390166
234 171 -1.05867149134143
234 190 -1.05867149134143
234 234 2.6882724985523
235 109 -1
235 169 -1
235 235 2
236 157 -1.08632807319984
236 224 0.52834995444981
