femLRS maleLRS jSurv sex f_coeff immGG DFEs id cohort socdam socsire brood pair
0 NA NA Female 0.0548763275146484 0.40283203125 0 477 1993 193 274 NA NA
NA NA 1 Female 0.0597381591796875 0.33154296875 1.71476548888614 474 1993 126 277 52 47
17 NA NA Female 0.0597381591796875 0.33154296875 0 474 1993 126 277 NA NA
NA NA 1 Female 0.12493896484375 0.2548828125 2.0865817272146 308 1993 253 113 53 48
4 NA NA Female 0.12493896484375 0.2548828125 0 308 1993 253 113 NA NA
NA NA 1 Female 0.0107421875 0.564453125 -1.09451275626219 384 1994 102 246 54 49
10 NA NA Female 0.0107421875 0.564453125 0 384 1994 102 246 NA NA
NA NA 1 Female 0.0233306884765625 0.5009765625 -1.01188692552253 381 1994 147 243 55 7
23 NA NA Female 0.0233306884765625 0.5009765625 0 381 1994 147 243 NA NA
NA NA 1 Female 0.0204010009765625 0.5830078125 -1.01188692552253 383 1994 147 243 55 7
6 NA NA Female 0.0204010009765625 0.5830078125 0 383 1994 147 243 NA NA
NA NA 1 Female 0.0227279663085938 0.472412109375 -1.05319984089236 822 1994 479 130 56 50
6 NA NA Female 0.0227279663085938 0.472412109375 0 822 1994 479 130 NA NA
NA NA 1 Female 0.040802001953125 0.3759765625 -0.929261094782876 382 1994 127 224 57 51
20 NA NA Female 0.040802001953125 0.3759765625 0 382 1994 127 224 NA NA
NA NA 1 Female 0.0359458923339844 0.60009765625 -0.722696517933734 535 1994 292 271 58 52
5 NA NA Female 0.0359458923339844 0.60009765625 0 535 1994 292 271 NA NA
NA NA 1 Female 0.110004425048828 0.25341796875 -0.640070687194077 534 1994 308 247 59 53
18 NA NA Female 0.110004425048828 0.25341796875 0 534 1994 308 247 NA NA
NA NA 1 Female 0.0667877197265625 0.29150390625 -0.0616898720164799 823 1994 125 467 60 54
35 NA NA Female 0.0667877197265625 0.29150390625 0 823 1994 125 467 NA NA
NA NA 1 Female 0.162361145019531 0.404296875 1.01244592759906 536 1994 301 274 61 55
4 NA NA Female 0.162361145019531 0.404296875 0 536 1994 301 274 NA NA
NA NA 1 Female 0.0864410400390625 0.435546875 -1.79683231754927 611 1995 251 281 62 56
1 NA NA Female 0.0864410400390625 0.435546875 0 611 1995 251 281 NA NA
NA NA 1 Female 0.0204010009765625 0.5830078125 -1.38370316385099 422 1995 147 243 63 7
6 NA NA Female 0.0204010009765625 0.5830078125 0 422 1995 147 243 NA NA
