row column Ainv
194 158 -1.05867149134143
194 194 2.6882724985523
195 143 -1.02246630054918
195 156 -1.02246630054918
195 195 2.04493260109835
196 155 -1.05567010309278
196 157 -1.05567010309278
196 196 2.11134020618557
197 155 -1.05567010309278
197 157 -1.05567010309278
197 197 2.11134020618557
198 155 -1.05867149134143
198 158 -1.05867149134143
198 198 2.11734298268286
199 155 -1.05867149134143
199 158 -1.05867149134143
199 199 2.11734298268286
200 142 -1.01135802469136
200 156 -1.01135802469136
200 200 2.02271604938272
201 142 -1.01135802469136
201 156 -1.01135802469136
201 201 2.02271604938272
202 125 -1.05485449394798
202 158 -1.05485449394798
202 202 2.10970898789596
203 35 1.01160780439615
203 117 -1.03277861825517
203 186 -1.03277861825517
203 203 3.07716504090649
204 109 3.77959398892697
204 117 -1.03277861825517
204 118 0.505803902198074
204 186 -1.03277861825517
204 188 0.518349784864591
204 204 6.86930491249998
205 34 -1.02451225612806
205 187 -1.02451225612806
205 205 2.54902451225613
206 34 -1.02451225612806
206 102 1.5
206 141 1.5
206 187 -1.02451225612806
206 206 18.1000293182168
207 189 -1.05025641025641
207 192 -1.05025641025641
207 207 2.73451947634441
208 189 -1.05025641025641
208 192 -1.05025641025641
208 208 3.33406198479531
209 119 -1.03696202531646
209 191 -1.03696202531646
209 192 2.0811686249603
209 209 4.15509267559322
210 34 -1.02451225612806
210 187 -1.02451225612806
210 205 0.5
210 210 2.54902451225613
211 34 -1.02451225612806
211 187 -1.02451225612806
211 206 1
211 211 3.04902451225613
212 33 0.5
212 34 -1.02451225612806
212 130 0.5
212 187 -1.02451225612806
212 212 3.04902451225613
213 33 0.50542941757157
213 102 -1.02451225612806
213 186 -1.02451225612806
213 213 2.5544539298277
214 117 -1.03277861825517
214 136 0.505803902198074
214 137 0.583642063265888
214 186 -1.03277861825517
214 190 0.518349784864591
214 214 3.67335298683889
215 34 -1.02451225612806
215 133 1
215 187 -1.02451225612806
215 215 3.55064719304726
216 102 -1.02451225612806
216 186 -1.02451225612806
216 216 3.10465722204101
217 34 -1.02451225612806
217 118 2
217 187 -1.02451225612806
217 217 4.04902451225613
218 101 1.01530643861932
218 119 -1.03696202531646
218 191 -1.03696202531646
218 218 3.08923048925223
219 111 -1.09460181721005
219 190 -1.09460181721005
219 219 12.4679255342469
220 111 -1.09460181721005
220 190 -1.09460181721005
220 220 4.75966622041465
221 111 -1.09460181721005
221 144 5.59007444168734
221 190 -1.09460181721005
221 221 9.88690346229929
222 35 -1.01160780439615
222 124 2.02772277227723
222 156 0.505679012345679
222 203 -1.01160780439615
222 222 7.56662238707204
223 118 -1.01160780439615
223 125 1.52883359253499
223 204 -1.01160780439615
223 216 0.50809402716616
223 223 5.65928431482403
224 35 -1.01160780439615
224 127 6.08316831683169
224 147 5.5
224 203 -1.01160780439615
224 224 15.6760332967687
225 121 0.548216556247072
225 142 1.62035999208809
225 188 -1.03669956972918
225 204 -1.03669956972918
225 207 0.634006655831592
225 224 0.540119997362695
225 225 5.41610234098781
226 118 -1
226 148 3.04252553389044
226 215 0.501622680791133
226 217 -1
226 226 9.1283885955614
227 38 1.00378317940235
227 133 -1
227 215 -1
227 227 3.00378317940235
228 109 -1.07988399683628
228 204 -1.07988399683628
228 228 8.86430915692172
229 162 2.82297804886454
229 192 -1.04058431248015
229 209 -1.04058431248015
229 216 0.547538682618721
229 229 5.45168535644356
230 205 -1
230 210 -1
230 230 9.45830420186173
231 127 0.508875188296865
231 133 -1
231 156 1.52284169597075
231 215 -1
231 231 12.3200833700548
232 109 -1.07988399683628
232 204 -1.07988399683628
232 232 10.1382283671176
233 33 -1.01085883514314
233 139 0.5
233 213 -1.01085883514314
233 233 2.52171767028628
234 192 -1.04058431248015
234 209 -1.04058431248015
234 221 0.550778229737452
234 234 2.63194685469776
235 123 1.09643311249414
235 190 -1.03669956972918
235 214 -1.03669956972918
235 235 3.16983225195251
236 33 -1
236 152 0.505304712558599
236 212 -1
236 228 4.53654934777258
236 236 7.04185406033118
237 114 5.6087761612075
237 130 -1
237 212 -1
237 222 0.501891589701175
237 237 12.6643561640073
238 118 -1
238 217 -1
238 222 2.50811340395567
238 231 2.01410636630453
238 238 9.54826175757781
239 109 -1.07988399683628
239 204 -1.07988399683628
239 232 0.50818858560794
239 239 2.6679565792805
240 109 -1.07988399683628
240 136 0.504061038641398
240 204 -1.07988399683628
240 240 2.66382903231395
241 115 0.509611197511664
241 118 -1
