row column Ainv
73 55 -1
73 72 1
73 73 3
74 56 -1
74 65 -1
74 74 2.5
75 31 0.5
75 61 -1
75 64 -1
75 75 2.5
76 60 -1
76 63 -1
76 76 3
77 60 -1
77 63 -1
77 77 2.5
78 61 -1
78 64 -1
78 76 1
78 78 3
79 57 -1
79 68 -1
79 79 2.53333333333333
80 17 -1
80 29 0.5
80 70 -1
80 80 2.5
81 72 -1
81 73 -1
81 77 0.5
81 79 0.533333333333333
81 81 3.03333333333333
82 22 0.5
82 72 -1
82 73 -1
82 82 2.5
83 23 0.5
83 27 -1
83 69 -1
83 83 3
84 62 -1
84 71 -1
84 84 2.5
85 62 -1
85 71 -1
85 83 0.5
85 85 2.5
86 26 -1
86 67 -1
86 86 2.5
87 32 1.5
87 76 -1
87 78 -1
87 87 3.5
88 76 -1
88 78 -1
88 88 4.5
89 31 -1
89 75 -1
89 89 2.5
90 27 1
90 29 -1
90 80 -1
90 90 3
91 79 -1.06666666666667
91 81 -1.06666666666667
91 91 2.63333333333333
92 23 -1
92 83 -1
92 84 0.5
92 92 2.5
93 22 -1
93 82 -1
93 91 0.5
93 93 2.5
94 74 0.5
94 83 -1
94 85 -1
94 94 2.5
95 77 -1
95 81 -1
95 95 11.5034213098729
96 32 -1
96 87 -1
96 96 4.53958075953885
97 32 -1
97 87 -1
97 88 1.5
97 95 1.5
97 97 9.62143700608989
98 32 -1
98 87 -1
98 98 3.5
99 27 -1
99 86 0.5
99 90 -1
99 99 2.5
100 27 -1
100 66 0.5
100 90 -1
100 100 2.5
101 91 -1
101 93 -1
101 101 2.55172413793103
102 84 -1
102 89 0.5
102 92 -1
102 102 2.5
103 74 -1
103 88 1
103 94 -1
103 95 4
103 103 7
104 88 -1
104 97 -1
104 104 5.23965199050883
105 88 -1
105 97 -1
105 105 2.53333333333333
106 88 -1
106 97 -1
106 106 3.64190272581507
107 95 -1
107 97 -1
107 107 3.10096428451433
108 95 -1
108 97 -1
108 108 3.01977748385591
109 95 -1
109 97 -1
109 109 2
110 59 0.5
110 66 -1
110 100 -1
110 110 2.5
111 86 -1
111 99 -1
111 111 3.54916792738275
112 89 -1
112 98 0.5
112 102 -1
112 112 5.00580390219807
113 88 -1
113 103 -1
113 113 3.03696202531646
114 36 2.5296442687747
114 88 -1
114 103 -1
114 114 4.5296442687747
115 36 1.01386138613861
115 95 -1
115 103 -1
115 115 3.56207794238569
116 35 3.04158415841584
116 95 -1
116 103 -1
116 116 5.04158415841584
117 37 0.506930693069307
117 95 -1
117 103 -1
117 117 3.53862431272113
118 95 -1
118 103 -1
118 118 3.52079207920792
119 95 -1
119 96 1.01386138613861
119 103 -1
119 119 5.07115450543233
120 95 -1
120 103 -1
120 120 4.68422406363938
121 95 -1
121 103 -1
121 121 4.02966726750479
122 95 -1
122 103 -1
122 117 0.514056224899598
122 122 3.52791761103821
123 59 -1
123 101 0.551724137931034
123 110 -1
123 123 2.55172413793103
124 36 -1.01185770750988
124 114 -1.01185770750988
124 124 2.52371541501976
125 36 -1.01185770750988
125 114 -1.01185770750988
125 122 1.01386138613861
125 125 3.61780841216521
126 98 -1
126 112 -1
126 120 0.512
126 126 2.512
127 36 -1.01185770750988
127 114 -1.01185770750988
127 127 3.02371541501976
128 36 -1.01185770750988
128 97 1.5
128 98 1
128 114 -1.01185770750988
128 128 5.02371541501976
129 36 -1.01185770750988
129 95 0.5
129 114 -1.01185770750988
129 129 2.52371541501976
130 35 -1.01386138613861
130 36 0.5
130 116 -1.01386138613861
130 130 6.12118106542915
131 117 -1.0281124497992
131 122 -1.0281124497992
131 131 3.89584386173618
132 36 -1.01386138613861
132 115 -1.01386138613861
132 132 2.52772277227723
133 35 -1.01386138613861
133 105 0.533333333333333
133 116 -1.01386138613861
133 133 2.56105610561056
134 35 -1.01386138613861
134 116 -1.01386138613861
134 128 0.5
134 134 4.02772277227723
135 36 -1.01386138613861
135 115 -1.01386138613861
135 135 3.08094915528397
136 96 -1.01386138613861
136 119 -1.01386138613861
136 136 3.58717640147173
137 35 -1.01386138613861
137 116 -1.01386138613861
137 137 4.07713706733989
138 35 -1.01386138613861
138 116 -1.01386138613861
138 138 3.54495522050271
139 35 -1.01386138613861
139 116 -1.01386138613861
139 139 3.04082915792127
140 37 -1.01386138613861
140 117 -1.01386138613861
140 140 7.53908153781516
141 96 -1.01386138613861
141 119 -1.01386138613861
141 138 0.50542941757157
141 141 4.06339949947619
142 95 3.50342130987292
142 101 -1.10344827586207
142 123 -1.10344827586207
142 142 5.71031786159706
143 120 -1.024
143 126 -1.024
143 143 6.21624166011822
144 98 -1
144 128 -1
144 143 0.514185287471755
144 144 2.51418528747176
145 97 -1
145 128 -1
145 145 2.52933574567072
146 95 -1
146 129 -1
146 136 0.511233150274588
146 146 3.01884704893151
147 122 -1.01386138613861
147 125 -1.01386138613861
147 145 0.529335745670716
147 147 3.08825633920688
148 105 -1.06666666666667
148 133 -1.06666666666667
148 148 3.22519851207608
149 128 -1
149 134 -1
149 149 2.5233919529765
150 97 -1
150 128 -1
150 150 3.04331767889835
151 122 -1.01386138613861
151 125 -1.01386138613861
151 151 2.59231838205014
152 36 -1
152 130 -1
152 152 2.51461731148262
153 98 -1
153 128 -1
